id_observacion,cancion_artista,color,calificacion,escuchas_previas,edad_anios,nivel_energia
1,Saliva - Viktor Vaughn (MF DOOM),azul,2.93,14,25,5
2,Yo siempre contesto - Latin Mafia,magenta,3.4,20,18,5
3,Aguanta corazon Los invasores de nuevo leon,amarillo,3.82,18,24,1
4,fantasmas - Humbe,amarillo,3.24,18,19,5
5,Met Tonight - Zayn,magenta,3.78,18,20,1
6,Wicked Games - The Weekend,amarillo,2.25,7,23,3
7,Neverita- Bad Bunny,azul,2.4,12,24,2
8,Navigating - Twenty One Pilots,azul,2.86,13,22,3
9,Past Won’t Leave My Bed. Joji,magenta,3.62,16,18,5
10,EL ÚNICO - Ca7riel y Paco Amoroso,amarillo,3.9,13,22,3
11,"Nangs,Tame Impala",amarillo,4.07,14,22,1
12,Ghost Town Kanye West,magenta,4.4,18,19,3
13,Honeybee - Olivia Rodrigo,amarillo,3.19,6,18,3
14,Happier-Olivia Rodrigo,magenta,2.69,15,21,3
15,MALASNOTICIAS. Álvaro Diaz,amarillo,3.04,15,18,1
16,Genesis $uicideboy$,magenta,2.78,9,24,1
17,Sexy boy de air,azul,3.52,18,18,1
18,Music Box of Fate - Ironmouse,azul,2.35,12,22,2
19,"Brilloteo, Álvaro Diaz",magenta,3.28,4,20,4
20,BAMBUA - K-KING Y MAXIMAN,amarillo,3.03,5,22,2
21,Devil in a new dress Kanye West,amarillo,2.9,14,20,5
22,I Bet on Losing Dogs .Mitski,amarillo,4.09,17,23,2
23,NO PODEMOS SER AMIGOS Alvaro Diaz,magenta,3.58,10,24,2
24,"Cuscra, Lia Taburcean",magenta,2.49,3,20,4
25,"Stefan, Hrdza",azul,3.21,10,24,4
26,"Brilloteo, Álvaro Diaz",magenta,4.38,17,18,3
27,It aint me Kygo,magenta,4,13,23,3
28,Nunca he sido honesto - Latin Mafia,magenta,2.17,7,25,3
29,COMË N GO- Yeat,amarillo,1.62,0,24,4
30,Nunca he sido honesto - Latin Mafia,magenta,2.01,8,19,1
31,That's what i like - Bruno Mars,azul,2.39,4,25,3
32,Matte black $uicideboy$,magenta,2.33,9,20,1
33,Nadie mas - Nsqk,magenta,4.25,17,21,4
34,Neverita- Bad Bunny,azul,1.57,1,21,1
35,Duele. Isi Vives,magenta,3.48,12,20,5
36,Traitor olivia rodrigo,amarillo,2.97,16,24,2
37,No tiene sentido - Beele,amarillo,2.78,0,20,4
38,Algo Mágico - Rauw Alejandro,azul,3.23,20,23,1
39,Only a Fool would say that - Steely dan,magenta,3.32,13,22,5
40,"New woman - Lisa, Rosalia",azul,2.1,7,25,4
41,si te pillara Beele,magenta,2.19,0,20,1
42,Prisión Los Tigres Del Norte,magenta,4.38,20,20,4
43,MALASNOTICIAS. Álvaro Diaz,amarillo,4.34,18,19,4
44,Watermelon man version headhunters - Herbie hancock,magenta,4.09,17,24,4
45,Evergreen-omar apollo,magenta,2.8,9,25,1
46,Callaita Bad bunny,azul,4.39,15,18,3
47,Porcelain de moby,amarillo,3.12,14,21,2
48,Figa de Guiné - Mari Froes,azul,2.04,1,22,4
49,Aishite Aishite Aishite - Ado,azul,2.33,10,24,3
50,Give Me Everything-Pitbull,amarillo,3.22,19,23,3
51,ATM - Don Toliver,magenta,4.67,19,22,5
52,"Piel, Nsqk",azul,1.67,3,23,3
53,Selfless - The srokes,magenta,1.53,0,21,2
54,PERDISTE EL EMMY - Álvaro Díaz,azul,2.96,16,25,4
55,Treasure In The Hills - Leon Thomas,azul,3.08,9,22,4
56,Ni que valieras tanto el poder del norte,amarillo,2.81,1,25,5
57,Safe and sound- capital cities,azul,3.14,4,21,3
58,Everybody Here Wants You - Jeff Buckley,azul,3.84,12,21,4
59,Corazones - Motel,amarillo,1.62,1,24,2
60,fantasmas - Humbe,amarillo,4.06,17,25,4
61,Notion - The Rare Ocassions,amarillo,3.37,17,19,3
62,Después de ti ¿quién? - La adictiva,azul,2.13,8,25,4
63,Flavius' Girl -- Farya Faraji,magenta,3.47,20,24,1
64,Feet Don't Fail Me Now .Joy Crookes,amarillo,3.6,17,18,1
65,Tarde o temprano - Nsqk,azul,3.68,11,22,5
66,Sabía que no - Reezy,amarillo,2.98,2,18,1
67,Cold Heart - Dua Lipa,amarillo,2.19,4,23,4
68,WHITE BOY WITH A GUN - Melanie Martinez,azul,4.48,20,18,5
69,Honeybee - Olivia Rodrigo,amarillo,3.93,12,22,3
70,Dumb boy - ALMAS,azul,2.96,18,25,3
71,"New woman - Lisa, Rosalia",azul,2.54,8,19,1
72,"Gustavo Cerati, jugo de luna",magenta,4.42,17,24,2
73,Bambous -- Caravan Palace,amarillo,3.71,14,21,2
74,"Kendrick Lamar, Gloria",amarillo,3.41,17,25,3
75,Tek It .Cafuné,magenta,2.05,0,18,1
76,"Skin, Mac Miller",amarillo,2.26,10,22,1
77,Back to friends - Sombr,azul,1.98,5,20,1
78,Algo Mágico - Rauw Alejandro,azul,2.28,5,22,3
79,Nightcall-kavinsky,magenta,3,5,22,2
80,Good 4 u olivia rodrigo,amarillo,2.56,14,20,2
81,AVOIDANT - Melanie Martinez,magenta,2.32,2,22,4
82,amoreux Alleu,magenta,2.45,7,25,2
83,"Nangs,Tame Impala",amarillo,3.12,9,22,1
84,LUNCH - Billie Eilish,magenta,3.1,12,18,4
85,Caperuza- Fuerza Regida,azul,2.75,11,23,1
86,Back to December - Taylor Swift,azul,3.52,10,24,5
87,Belleza de cantina Cardenales De Nuevo leon,azul,3.48,7,22,1
88,"New woman - Lisa, Rosalia",azul,3.37,19,18,4
89,National Treasures - Drake,magenta,1.73,6,18,5
90,Te estoy Correteando. Latin Mafia,azul,2.47,6,25,4
91,21 Guns - Green day,azul,3.84,18,22,2
92,Sunshine de steve lacy,azul,2.78,15,19,5
93,PIRLO catriel y paco amoroso,azul,2.91,2,19,2
94,"READY, STEADY, GO! - HARRY STYLES",azul,2.29,4,18,5
95,the cure - Olivia Rodrigo,azul,2.75,13,19,5
96,Only a Fool would say that - Steely dan,magenta,1.88,0,24,2
97,Polos opuestos natanael cano,azul,3.09,9,22,1
98,the cure - Olivia Rodrigo,azul,3.24,20,24,4
99,"Piel, Nsqk",azul,4.25,17,22,4
100,Gavilán o Paloma .José José,magenta,1.56,0,20,5
101,Notion - The Rare Ocassions,amarillo,3.62,18,23,2
102,Radio - Bershy,magenta,2.5,8,22,4
103,Dardos - Romeo Santos y Prince Royce,magenta,4.29,16,18,1
104,The girl is mine - Michael Jackson,azul,2.93,10,19,2
105,"Eu vreau maritata, Nadia Bologan",amarillo,3.8,12,19,4
106,Cómo Le Explico Cornelio Vega,magenta,2.52,12,21,1
107,Caperuza- Fuerza Regida,azul,3.06,17,23,1
108,"Chicago freestyle, Drake",amarillo,2.76,2,21,1
109,Give Me Everything-Pitbull,amarillo,3.3,7,21,1
110,"La torre NY, Natanael Cano",magenta,3.12,12,19,2
111,Every Breath You Take - The Police,amarillo,4.83,20,24,3
112,Traitor olivia rodrigo,amarillo,2.48,4,24,5
113,Evergreen-omar apollo,magenta,3.14,13,24,1
114,Tarde o temprano - Nsqk,azul,3.04,3,24,2
115,Nadie mas - Nsqk,magenta,2.32,3,20,2
116,Preso - José José,magenta,4.36,20,24,2
117,Algo Mágico - Rauw Alejandro,azul,1.91,4,25,4
118,BAMBUA - K-KING Y MAXIMAN,amarillo,2.02,0,24,4
119,About You - The 1975,magenta,3.05,14,19,1
120,505 - Artic Monkeys,amarillo,3.54,13,20,3
121,Ebrio de Amor - Alta Consignia,magenta,3.63,20,19,2
